survey,item,variable,values,question_text,response_categories,item_category,female_var,female_vals
eb901,concern_manipulate_cyberattack4,qb10_4,c(4:1),"Elections being manipulated through cyberattacks: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_vote_coercion4,qb10_5,c(4:1),"People being coerced into voting in a particular way: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_foreign_meddling4,qb10_6,c(4:1),"Foreign actors and criminal groups influencing elections covertly: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_carousel_vote4,qb10_7,c(4:1),"Some people voting twice: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_online_targeting4,qb13_1,c(4:1),"The personal data people leave on the Internet is used to target the political messages they see, undermining free and fair competition between all political parties: Turning now to the pre-election period, whether at the local, national or European level. How concerned or not are you about the following issues related to the use of the Internet and of online social networks?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_online_disinfo4,qb13_2,c(4:1),"Disinformation and misinformation on the Internet: Turning now to the pre-election period, whether at the local, national or European level. How concerned or not are you about the following issues related to the use of the Internet and of online social networks?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb901,concern_online_censorship4,qb13_3,c(4:1),"Restrictions and censorship of political debates on online social networks: Turning now to the pre-election period, whether at the local, national or European level. How concerned or not are you about the following issues related to the use of the Internet and of online social networks?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb922,concern_phishing4,qc8_1,c(4:1),"Fraudulent emails or phone calls asking for your personal details (including access to your computer, logins,banking or payment information): Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?",1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_online_fraud4,qc8_2,c(4:1),"Online fraud where goods purchased are not delivered, are counterfeit or are not as advertised: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?",1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_cyberattack4,qc8_3,c(4:1),Cyberattacks which prevent you from accessing online services like banking or public services: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_compu_virus4,qc8_4,c(4:1),"The infection of devices with malicious software (viruses, etc.): Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?",1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_id_theft4,qc8_5,c(4:1),Identity theft (somebody stealing your personal data and impersonating you): Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_kiddy_porn4,qc8_6,c(4:1),Accidentally encountering child sexual abuse material online: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_online_hate4,qc8_7,c(4:1),Online material which promotes racial hatred or religious extremism: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,politics,,
eb922,concern_hacking4,qc8_8,c(4:1),Hacking of an online social network or email account: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_bank_fraud4,qc8_9,c(4:1),Bank card or online banking fraud: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,crime,,
eb922,concern_ransomeware4,qc8_10,c(4:1),Demands for payment in return for getting back control of your device: Cybercrimes include many different types of criminal activity. How concerned are you personally about experiencing or being a victim of the following situations?,1 very concerned 2 fairly concerned 3 not very concerned 4 not at all concerned,war,,
eb941,concern_illegal_voting4,qb1_1,c(4:1),"People voting although they are not entitled to vote: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_manipulate_results4,qb1_2,c(4:1),"The final result of an election being manipulated: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_manipulate_cyberattack4,qb1_3,c(4:1),"Elections being manipulated through cyberattacks: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_vote_coercion4,qb1_4,c(4:1),"People being pressured into voting a particular way: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_foreign_meddling4,qb1_5,c(4:1),"Foreign actors and criminal groups influencing elections covertly: In the context of elections in Europe, how concerned or not are you about the possibility of each of the following events?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_voting_difficulties4,qb3_1,c(4:1),"Difficulties of use for some people, such as people with disabilities or older people: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_voting_cyberattack4,qb3_2,c(4:1),"The potential for fraud or cyberattack: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb941,concern_voting_secrecy4,qb3_3,c(4:1),"The security of the ballot: Imagine now that you were able to vote electronically, online or by post. How concerned or not would you be about each of the following?",1 very concerned 2 somewhat concerned 3 not very concerned 4 not at all concerned,politics,,
eb981,worry_migration4,qa18_2,c(4:1),Migration: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,immigration,d10,c(1:2)
eb981,worry_nuclear4,qa18_3,c(4:1),The risk of a nuclear incident: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,environment,d10,c(1:2)
eb981,worry_inflation4,qa18_4,c(4:1),"The rising cost of living, for example increasing food and energy prices: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ",1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,finances,d10,c(1:2)
eb981,worry_war_russia4,qa18_5,c(4:1),The spread of the war in Ukraine to other countries: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,war,d10,c(1:2)
eb981,worry_disease4,qa18_6,c(4:1),The spread of infectious diseases such as COVID-19 or monkey pox: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,health,d10,c(1:2)
eb981,worry_backsliding4,qa18_7,c(4:1),The risks to our common European values such as freedom and democracy: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones? ,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,politics,d10,c(1:2)
eb981,worry_poverty4,qa18_8,c(4:1),Poverty and social exclusion: To what extent are you currently worried or not about each of the following issues for your life and those of your close ones?,1 Very worried 2 Slightly worried 3 Not very worried 4 Not at all worried,finances,d10,c(1:2)
lb1995,concern_job4,s12b,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb1996,concern_job4,p14,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb1997,concern_job4,sp81,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb1998,concern_job4,sp78,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2000,concern_job4,p75st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2001,concern_job4,p35st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2001,concern_environment,p77nmma,c(4:1),How concerned are you personally about environmental problems?,1 a great deal 2 a fair amount 3 not very much 4 not at all,environment,s1,c(1:2)
lb2002,concern_job4,p26st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2003,concern_job4,p89st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2004,worry_terrorism4,p76n,c(4:1),How concerned are you that terrorist attacks taking place in other parts of the world have negative consequences for you and your country?,1 Very worried 2 Somewhat worried 3 Little worried 4 Not at all worried,terrorism,s1,c(1:2)
lb2004,concern_job4,p88st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s1,c(1:2)
lb2005,concern_job4,p85st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s6,c(1:2)
lb2006,worry_energy_conflict4,p62n_a,c(4:1),How much do you worry that the competition for energy will lead to major conflicts and wars between countries?,1 very worried 2 somewhat worried 3 not very worried 4 not worried at all,war,s6,c(1:2)
lb2006,worry_energy_family4,p62n_b,c(4:1),How much do you worry that a shortage of energy will affect your family's budget?,1 very worried 2 somewhat worried 3 not very worried 4 not worried at all,finances,s6,c(1:2)
lb2006,concern_job4,p91st,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s6,c(1:2)
lb2007,worry_crime4,p69n,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s10,c(1:2)
lb2007,concern_job4,s1,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s10,c(1:2)
lb2008,concern_job4,s1,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s8,c(1:2)
lb2009,worry_crime4,p76st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s5,c(1:2)
lb2009,concern_job4,s1,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s5,c(1:2)
lb2010,worry_crime4,p72st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s7,c(1:2)
lb2010,concern_job4,s3,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s7,c(1:2)
lb2011,worry_crime4,p78st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s16,c(1:2)
lb2011,concern_job4,s9,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s16,c(1:2)
lb2013,worry_crime4,p67st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s10,c(1:2)
lb2013,concern_job4,s5,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s10,c(1:2)
lb2015,worry_crime4,p57st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,s12,c(1:2)
lb2015,concern_job4,s3,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,s12,c(1:2)
lb2016,worry_crime4,p39st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,sexo,c(1:2)
lb2016,concern_job4,s3,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,sexo,c(1:2)
lb2017,worry_crime4,p66st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,sexo,c(1:2)
lb2017,concern_job4,s4,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,sexo,c(1:2)
lb2018,worry_crime4,p70st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,sexo,c(1:2)
lb2018,concern_job4,s3,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,sexo,c(1:2)
lb2020,worry_crime4,p65st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,sexo,c(1:2)
lb2020,concern_job4,s3,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,sexo,c(1:2)
lb2023,worry_crime4,p59st,c(4:1),How often do you worry about becoming a victim of a violent crime?,1 all or almost all of the time 2 sometimes 3 occasionally 4 never,crime,sexo,c(1:2)
lb2023,concern_job4,s4,c(4:1),How concerned would you say you are about being left without work within the next 12 months?,1 very concerned 2 concerned 3 a little concerned 4 not at all concerned,finances,sexo,c(1:2)
lits_wave2,problem_poverty2,q401aa,c(0:1),"Poverty, lack of food and drinking water: In your opinion, which of the following do you consider to be a very serious problem currently facing the world?",0 not mentioned 1 mentioned,finances,,
lits_wave2,problem_disease2,q401ab,c(0:1),"The spread of an infectious disease: In your opinion, which of the following do you consider to be a very serious problem currently facing the world?",0 not mentioned 1 mentioned,health,,
lits_wave2,problem_terrorism2,q401ac,c(0:1),"International terrorism: In your opinion, which of the following do you consider to be a very serious problem currently facing the world?",0 not mentioned 1 mentioned,terrorism,,
